answer,provider,model,few shot,temperature,run,file_id
2,gpt,gpt-4.1-mini,1,0,0,1
2,gpt,gpt-4.1-mini,1,0,1,1
2,gpt,gpt-4.1-mini,1,0,2,1
2,gpt,gpt-4.1-mini,1,0,3,1
2,gpt,gpt-4.1-mini,1,0,4,1
2,gpt,gpt-4.1-mini,1,0,5,1
2,gpt,gpt-4.1-mini,1,0,6,1
2,gpt,gpt-4.1-mini,1,0,7,1
2,gpt,gpt-4.1-mini,1,0,8,1
2,gpt,gpt-4.1-mini,1,0,9,1
2,gpt,gpt-4.1-mini,1,0.4,0,1
2,gpt,gpt-4.1-mini,1,0.4,1,1
2,gpt,gpt-4.1-mini,1,0.4,2,1
2,gpt,gpt-4.1-mini,1,0.4,3,1
2,gpt,gpt-4.1-mini,1,0.4,4,1
2,gpt,gpt-4.1-mini,1,0.4,5,1
2,gpt,gpt-4.1-mini,1,0.4,6,1
2,gpt,gpt-4.1-mini,1,0.4,7,1
2,gpt,gpt-4.1-mini,1,0.4,8,1
2,gpt,gpt-4.1-mini,1,0.4,9,1
2,gpt,gpt-4.1-mini,1,0.8,0,1
2,gpt,gpt-4.1-mini,1,0.8,1,1
2,gpt,gpt-4.1-mini,1,0.8,2,1
2,gpt,gpt-4.1-mini,1,0.8,3,1
2,gpt,gpt-4.1-mini,1,0.8,4,1
2,gpt,gpt-4.1-mini,1,0.8,5,1
2,gpt,gpt-4.1-mini,1,0.8,6,1
2,gpt,gpt-4.1-mini,1,0.8,7,1
2,gpt,gpt-4.1-mini,1,0.8,8,1
2,gpt,gpt-4.1-mini,1,0.8,9,1
2,gpt,gpt-4.1-mini,1,1.2,0,1
2,gpt,gpt-4.1-mini,1,1.2,1,1
2,gpt,gpt-4.1-mini,1,1.2,2,1
2,gpt,gpt-4.1-mini,1,1.2,3,1
2,gpt,gpt-4.1-mini,1,1.2,4,1
2,gpt,gpt-4.1-mini,1,1.2,5,1
2,gpt,gpt-4.1-mini,1,1.2,6,1
