answer,region,area,model,run
10,Andorra,468.0,gemini-2.5-flash,0
10,Andorra,468.0,gemini-2.5-flash,1
100,Andorra,468.0,gemini-2.5-flash,2
1,Andorra,468.0,gemini-2.5-flash,3
100,Andorra,468.0,gemini-2.5-flash,4
100,Andorra,468.0,gemini-2.5-flash,5
500,Andorra,468.0,gemini-2.5-flash,6
100,Andorra,468.0,gemini-2.5-flash,7
100,Andorra,468.0,gemini-2.5-flash,8
100,Andorra,468.0,gemini-2.5-flash,9
5,Andorra,468.0,gemini-2.5-flash,10
1,Andorra,468.0,gemini-2.5-flash,11
1,Andorra,468.0,gemini-2.5-flash,12
10,Andorra,468.0,gemini-2.5-flash,13
1,Andorra,468.0,gemini-2.5-flash,14
100,Andorra,468.0,gemini-2.5-flash,15
200,Andorra,468.0,gemini-2.5-flash,16
1,Andorra,468.0,gemini-2.5-flash,17
100,Andorra,468.0,gemini-2.5-flash,18
100,Andorra,468.0,gemini-2.5-flash,19
10,Andorra,468.0,gemini-2.5-flash,20
100,Andorra,468.0,gemini-2.5-flash,21
100,Andorra,468.0,gemini-2.5-flash,22
10,Andorra,468.0,gemini-2.5-flash,23
100,Andorra,468.0,gemini-2.5-flash,24
50,Andorra,468.0,gemini-2.5-flash,25
1,Andorra,468.0,gemini-2.5-flash,26
100,Andorra,468.0,gemini-2.5-flash,27
100,Andorra,468.0,gemini-2.5-flash,28
100,Andorra,468.0,gemini-2.5-flash,29
50,United Arab Emirates,82880.0,gemini-2.5-flash,0
100,United Arab Emirates,82880.0,gemini-2.5-flash,1
50,United Arab Emirates,82880.0,gemini-2.5-flash,2
50,United Arab Emirates,82880.0,gemini-2.5-flash,3
500,United Arab Emirates,82880.0,gemini-2.5-flash,4
100,United Arab Emirates,82880.0,gemini-2.5-flash,5
1,United Arab Emirates,82880.0,gemini-2.5-flash,6
500,United Arab Emirates,82880.0,gemini-2.5-flash,7
500,United Arab Emirates,82880.0,gemini-2.5-flash,8
50,United Arab Emirates,82880.0,gemini-2.5-flash,9
50,United Arab Emirates,82880.0,gemini-2.5-flash,10
1,United Arab Emirates,82880.0,gemini-2.5-flash,11
200,United Arab Emirates,82880.0,gemini-2.5-flash,12
5,United Arab Emirates,82880.0,gemini-2.5-flash,13
100,United Arab Emirates,82880.0,gemini-2.5-flash,14
5,United Arab Emirates,82880.0,gemini-2.5-flash,15
50,United Arab Emirates,82880.0,gemini-2.5-flash,16
1,United Arab Emirates,82880.0,gemini-2.5-flash,17
1,United Arab Emirates,82880.0,gemini-2.5-flash,18
500,United Arab Emirates,82880.0,gemini-2.5-flash,19
500,United Arab Emirates,82880.0,gemini-2.5-flash,20
1,United Arab Emirates,82880.0,gemini-2.5-flash,21
100,United Arab Emirates,82880.0,gemini-2.5-flash,22
1,United Arab Emirates,82880.0,gemini-2.5-flash,23
500,United Arab Emirates,82880.0,gemini-2.5-flash,24
50,United Arab Emirates,82880.0,gemini-2.5-flash,25
50,United Arab Emirates,82880.0,gemini-2.5-flash,26
10,United Arab Emirates,82880.0,gemini-2.5-flash,27
100,United Arab Emirates,82880.0,gemini-2.5-flash,28
500,United Arab Emirates,82880.0,gemini-2.5-flash,29
1000,Afghanistan,647500.0,gemini-2.5-flash,0
100,Afghanistan,647500.0,gemini-2.5-flash,1
1,Afghanistan,647500.0,gemini-2.5-flash,2
5,Afghanistan,647500.0,gemini-2.5-flash,3
100,Afghanistan,647500.0,gemini-2.5-flash,4
100,Afghanistan,647500.0,gemini-2.5-flash,5
100,Afghanistan,647500.0,gemini-2.5-flash,6
100,Afghanistan,647500.0,gemini-2.5-flash,7
500,Afghanistan,647500.0,gemini-2.5-flash,8
50,Afghanistan,647500.0,gemini-2.5-flash,9
50,Afghanistan,647500.0,gemini-2.5-flash,10
10,Afghanistan,647500.0,gemini-2.5-flash,11
100,Afghanistan,647500.0,gemini-2.5-flash,12
10,Afghanistan,647500.0,gemini-2.5-flash,13
500,Afghanistan,647500.0,gemini-2.5-flash,14
