answer,distance,model,run
N,2,gpt-5.1,0
N,2,gpt-5.1,1
N,2,gpt-5.1,2
N,2,gpt-5.1,3
N,2,gpt-5.1,4
N,2,gpt-5.1,5
N,2,gpt-5.1,6
N,2,gpt-5.1,7
N,2,gpt-5.1,8
N,2,gpt-5.1,9
N,2,gpt-5.1,10
N,2,gpt-5.1,11
N,2,gpt-5.1,12
N,2,gpt-5.1,13
N,2,gpt-5.1,14
N,2,gpt-5.1,15
N,2,gpt-5.1,16
N,2,gpt-5.1,17
N,2,gpt-5.1,18
N,2,gpt-5.1,19
N,2,gpt-5.1,20
N,2,gpt-5.1,21
N,2,gpt-5.1,22
N,2,gpt-5.1,23
N,2,gpt-5.1,24
N,2,gpt-5.1,25
N,2,gpt-5.1,26
N,2,gpt-5.1,27
N,2,gpt-5.1,28
N,2,gpt-5.1,29
N,4,gpt-5.1,0
N,4,gpt-5.1,1
N,4,gpt-5.1,2
N,4,gpt-5.1,3
N,4,gpt-5.1,4
N,4,gpt-5.1,5
N,4,gpt-5.1,6
N,4,gpt-5.1,7
N,4,gpt-5.1,8
N,4,gpt-5.1,9
N,4,gpt-5.1,10
N,4,gpt-5.1,11
N,4,gpt-5.1,12
N,4,gpt-5.1,13
N,4,gpt-5.1,14
N,4,gpt-5.1,15
N,4,gpt-5.1,16
N,4,gpt-5.1,17
N,4,gpt-5.1,18
N,4,gpt-5.1,19
N,4,gpt-5.1,20
N,4,gpt-5.1,21
N,4,gpt-5.1,22
N,4,gpt-5.1,23
N,4,gpt-5.1,24
N,4,gpt-5.1,25
N,4,gpt-5.1,26
N,4,gpt-5.1,27
N,4,gpt-5.1,28
N,4,gpt-5.1,29
N,6,gpt-5.1,0
N,6,gpt-5.1,1
N,6,gpt-5.1,2
N,6,gpt-5.1,3
N,6,gpt-5.1,4
N,6,gpt-5.1,5
N,6,gpt-5.1,6
N,6,gpt-5.1,7
N,6,gpt-5.1,8
N,6,gpt-5.1,9
N,6,gpt-5.1,10
N,6,gpt-5.1,11
N,6,gpt-5.1,12
N,6,gpt-5.1,13
N,6,gpt-5.1,14
N,6,gpt-5.1,15
N,6,gpt-5.1,16
N,6,gpt-5.1,17
N,6,gpt-5.1,18
N,6,gpt-5.1,19
N,6,gpt-5.1,20
N,6,gpt-5.1,21
